ID,total_bill,tip,sex,smoker,day,time,size,age
40,31.27,5.0,Male,No,Sat,Dinner,3,41
41,16.04,2.24,Male,No,Sat,Dinner,3,44
42,17.46,2.54,Male,No,Sun,Dinner,2,27
43,13.94,3.06,Male,No,Sun,Dinner,2,59
44,9.68,1.32,Male,No,Sun,Dinner,2,57
45,30.4,5.6,Male,No,Sun,Dinner,4,68
46,18.29,3.0,Male,No,Sun,Dinner,2,41
47,22.23,5.0,Male,No,Sun,Dinner,2,30
48,32.4,6.0,Male,No,Sun,Dinner,4,23
49,28.55,2.05,Male,No,Sun,Dinner,3,18
50,18.04,3.0,Male,No,Sun,Dinner,2,25
51,12.54,2.5,Male,No,Sun,Dinner,2,18
52,10.29,2.6,Female,No,Sun,Dinner,2,45
53,34.81,5.2,Female,No,Sun,Dinner,4,34
54,9.94,1.56,Male,No,Sun,Dinner,2,40
55,25.56,4.34,Male,No,Sun,Dinner,4,18
56,19.49,3.51,Male,No,Sun,Dinner,2,77
57,38.01,3.0,Male,Yes,Sat,Dinner,4,18
58,26.41,1.5,Female,No,Sat,Dinner,2,20
59,11.24,1.76,Male,Yes,Sat,Dinner,2,69
60,48.27,6.73,Male,No,Sat,Dinner,4,74
61,20.29,3.21,Male,Yes,Sat,Dinner,2,37
62,13.81,2.0,Male,Yes,Sat,Dinner,2,18
63,11.02,1.98,Male,Yes,Sat,Dinner,2,80
64,18.29,3.76,Male,Yes,Sat,Dinner,4,22
65,17.59,2.64,Male,No,Sat,Dinner,3,28
66,20.08,3.15,Male,No,Sat,Dinner,3,66
67,16.45,2.47,Female,No,Sat,Dinner,2,47
68,3.07,1.0,Female,Yes,Sat,Dinner,1,58
69,20.23,2.01,Male,No,Sat,Dinner,2,41
70,15.01,2.09,Male,Yes,Sat,Dinner,2,75
71,12.02,1.97,Male,No,Sat,Dinner,2,29
72,17.07,3.0,Female,No,Sat,Dinner,3,44
73,26.86,3.14,Female,Yes,Sat,Dinner,2,30
74,25.28,5.0,Female,Yes,Sat,Dinner,2,27
75,14.73,2.2,Female,No,Sat,Dinner,2,27
76,10.51,1.25,Male,No,Sat,Dinner,2,28
77,17.92,3.08,Male,Yes,Sat,Dinner,2,61
78,27.2,4.0,Male,No,Thur,Lunch,4,19
79,22.76,3.0,Male,No,Thur,Lunch,2,80
80,17.29,2.71,Male,No,Thur,Lunch,2,80
81,19.44,3.0,Male,Yes,Thur,Lunch,2,80
82,16.66,3.4,Male,No,Thur,Lunch,2,54
83,10.07,1.83,Female,No,Thur,Lunch,1,75
84,32.68,5.0,Male,Yes,Thur,Lunch,2,58
85,15.98,2.03,Male,No,Thur,Lunch,2,49
86,34.83,5.17,Female,No,Thur,Lunch,4,38
87,13.03,2.0,Male,No,Thur,Lunch,2,33
88,18.28,4.0,Male,No,Thur,Lunch,2,33
89,24.71,5.85,Male,No,Thur,Lunch,2,32
90,21.16,3.0,Male,No,Thur,Lunch,2,48
91,28.97,3.0,Male,Yes,Fri,Dinner,2,79
92,22.49,3.5,Male,No,Fri,Dinner,2,80
93,5.75,1.0,Female,Yes,Fri,Dinner,2,31
94,16.32,4.3,Female,Yes,Fri,Dinner,2,32
95,22.75,3.25,Female,No,Fri,Dinner,2,80
96,40.17,4.73,Male,Yes,Fri,Dinner,4,29
97,27.28,4.0,Male,Yes,Fri,Dinner,2,37
98,12.03,1.5,Male,Yes,Fri,Dinner,2,20
99,21.01,3.0,Male,Yes,Fri,Dinner,2,20
100,12.46,1.5,Male,No,Fri,Dinner,2,50
101,11.35,2.5,Female,Yes,Fri,Dinner,2,24
102,15.38,3.0,Female,Yes,Fri,Dinner,2,42
103,44.3,2.5,Female,Yes,Sat,Dinner,3,80
104,22.42,3.48,Female,Yes,Sat,Dinner,2,50
105,20.92,4.08,Female,No,Sat,Dinner,2,80
106,15.36,1.64,Male,Yes,Sat,Dinner,2,57
107,20.49,4.06,Male,Yes,Sat,Dinner,2,32
108,25.21,4.29,Male,Yes,Sat,Dinner,2,23
109,18.24,3.76,Male,No,Sat,Dinner,2,28
110,14.31,4.0,Female,Yes,Sat,Dinner,2,21
111,14.0,3.0,Male,No,Sat,Dinner,2,39
112,7.25,1.0,Female,No,Sat,Dinner,1,63
113,38.07,4.0,Male,No,Sun,Dinner,3,55
114,23.95,2.55,Male,No,Sun,Dinner,2,18
115,25.71,4.0,Female,No,Sun,Dinner,3,18
116,17.31,3.5,Female,No,Sun,Dinner,2,45
117,29.93,5.07,Male,No,Sun,Dinner,4,64
118,10.65,1.5,Female,No,Thur,Lunch,2,39
119,12.43,1.8,Female,No,Thur,Lunch,2,41
120,24.08,2.92,Female,No,Thur,Lunch,4,18
121,11.69,2.31,Male,No,Thur,Lunch,2,24
122,13.42,1.68,Female,No,Thur,Lunch,2,18
123,14.26,2.5,Male,No,Thur,Lunch,2,18
124,15.95,2.0,Male,No,Thur,Lunch,2,74
125,12.48,2.52,Female,No,Thur,Lunch,2,80
126,29.8,4.2,Female,No,Thur,Lunch,6,44
127,8.52,1.48,Male,No,Thur,Lunch,2,74
128,14.52,2.0,Female,No,Thur,Lunch,2,28
129,11.38,2.0,Female,No,Thur,Lunch,2,58
130,22.82,2.18,Male,No,Thur,Lunch,3,76
131,19.08,1.5,Male,No,Thur,Lunch,2,62
132,20.27,2.83,Female,No,Thur,Lunch,2,60
133,11.17,1.5,Female,No,Thur,Lunch,2,80
134,12.26,2.0,Female,No,Thur,Lunch,2,80
135,18.26,3.25,Female,No,Thur,Lunch,2,80
136,8.51,1.25,Female,No,Thur,Lunch,2,33
137,10.33,2.0,Female,No,Thur,Lunch,2,23
138,14.15,2.0,Female,No,Thur,Lunch,2,68
139,16.0,2.0,Male,Yes,Thur,Lunch,2,33
140,13.16,2.75,Female,No,Thur,Lunch,2,80
141,17.47,3.5,Female,No,Thur,Lunch,2,18
142,34.3,6.7,Male,No,Thur,Lunch,6,48
143,41.19,5.0,Male,No,Thur,Lunch,5,41
144,27.05,5.0,Female,No,Thur,Lunch,6,27
145,16.43,2.3,Female,No,Thur,Lunch,2,69
146,8.35,1.5,Female,No,Thur,Lunch,2,80
147,18.64,1.36,Female,No,Thur,Lunch,3,71
148,11.87,1.63,Female,No,Thur,Lunch,2,80
149,9.78,1.73,Male,No,Thur,Lunch,2,48
150,7.51,2.0,Male,No,Thur,Lunch,2,69
151,14.07,2.5,Male,No,Sun,Dinner,2,37
152,13.13,2.0,Male,No,Sun,Dinner,2,80
153,17.26,2.74,Male,No,Sun,Dinner,3,21
154,24.55,2.0,Male,No,Sun,Dinner,4,55
155,19.77,2.0,Male,No,Sun,Dinner,4,80
156,29.85,5.14,Female,No,Sun,Dinner,5,80
157,48.17,5.0,Male,No,Sun,Dinner,6,80
158,25.0,3.75,Female,No,Sun,Dinner,4,56
159,13.39,2.61,Female,No,Sun,Dinner,2,67
160,16.49,2.0,Male,No,Sun,Dinner,4,35
161,21.5,3.5,Male,No,Sun,Dinner,4,33
162,12.66,2.5,Male,No,Sun,Dinner,2,36
163,16.21,2.0,Female,No,Sun,Dinner,3,60
164,13.81,2.0,Male,No,Sun,Dinner,2,38
165,17.51,3.0,Female,Yes,Sun,Dinner,2,78
166,24.52,3.48,Male,No,Sun,Dinner,3,54
167,20.76,2.24,Male,No,Sun,Dinner,2,31
168,31.71,4.5,Male,No,Sun,Dinner,4,20
169,10.59,1.61,Female,Yes,Sat,Dinner,2,29
170,10.63,2.0,Female,Yes,Sat,Dinner,2,18
171,50.81,10.0,Male,Yes,Sat,Dinner,3,18
172,15.81,3.16,Male,Yes,Sat,Dinner,2,18
173,7.25,5.15,Male,Yes,Sun,Dinner,2,62
174,31.85,3.18,Male,Yes,Sun,Dinner,2,68
175,16.82,4.0,Male,Yes,Sun,Dinner,2,46
176,32.9,3.11,Male,Yes,Sun,Dinner,2,75
177,17.89,2.0,Male,Yes,Sun,Dinner,2,77
178,14.48,2.0,Male,Yes,Sun,Dinner,2,18
179,9.6,4.0,Female,Yes,Sun,Dinner,2,80
180,34.63,3.55,Male,Yes,Sun,Dinner,2,80
181,34.65,3.68,Male,Yes,Sun,Dinner,4,80
182,23.33,5.65,Male,Yes,Sun,Dinner,2,69
183,45.35,3.5,Male,Yes,Sun,Dinner,3,30
184,23.17,6.5,Male,Yes,Sun,Dinner,4,80
185,40.55,3.0,Male,Yes,Sun,Dinner,2,57
186,20.69,5.0,Male,No,Sun,Dinner,5,28
187,20.9,3.5,Female,Yes,Sun,Dinner,3,28
188,30.46,2.0,Male,Yes,Sun,Dinner,5,39
189,18.15,3.5,Female,Yes,Sun,Dinner,3,77
190,23.1,4.0,Male,Yes,Sun,Dinner,3,21
191,15.69,1.5,Male,Yes,Sun,Dinner,2,39
192,19.81,4.19,Female,Yes,Thur,Lunch,2,56
193,28.44,2.56,Male,Yes,Thur,Lunch,2,69
194,15.48,2.02,Male,Yes,Thur,Lunch,2,45
195,16.58,4.0,Male,Yes,Thur,Lunch,2,48
196,7.56,1.44,Male,No,Thur,Lunch,2,50
197,10.34,2.0,Male,Yes,Thur,Lunch,2,48
198,43.11,5.0,Female,Yes,Thur,Lunch,4,18
199,13.0,2.0,Female,Yes,Thur,Lunch,2,31
200,13.51,2.0,Male,Yes,Thur,Lunch,2,57
201,18.71,4.0,Male,Yes,Thur,Lunch,3,33
202,12.74,2.01,Female,Yes,Thur,Lunch,2,80
203,13.0,2.0,Female,Yes,Thur,Lunch,2,61
204,16.4,2.5,Female,Yes,Thur,Lunch,2,30
205,20.53,4.0,Male,Yes,Thur,Lunch,4,18
206,16.47,3.23,Female,Yes,Thur,Lunch,3,52
207,26.59,3.41,Male,Yes,Sat,Dinner,3,66
208,38.73,3.0,Male,Yes,Sat,Dinner,4,18
209,24.27,2.03,Male,Yes,Sat,Dinner,2,61
210,12.76,2.23,Female,Yes,Sat,Dinner,2,31
211,30.06,2.0,Male,Yes,Sat,Dinner,3,68
212,25.89,5.16,Male,Yes,Sat,Dinner,4,80
213,48.33,9.0,Male,No,Sat,Dinner,4,74
214,13.27,2.5,Female,Yes,Sat,Dinner,2,59
215,28.17,6.5,Female,Yes,Sat,Dinner,3,18
216,12.9,1.1,Female,Yes,Sat,Dinner,2,80
217,28.15,3.0,Male,Yes,Sat,Dinner,5,64
218,11.59,1.5,Male,Yes,Sat,Dinner,2,39
219,7.74,1.44,Male,Yes,Sat,Dinner,2,70
220,30.14,3.09,Female,Yes,Sat,Dinner,4,18
221,12.16,2.2,Male,Yes,Fri,Lunch,2,68
222,13.42,3.48,Female,Yes,Fri,Lunch,2,52
223,8.58,1.92,Male,Yes,Fri,Lunch,1,52
224,15.98,3.0,Female,No,Fri,Lunch,3,18
225,13.42,1.58,Male,Yes,Fri,Lunch,2,54
226,16.27,2.5,Female,Yes,Fri,Lunch,2,25
227,10.09,2.0,Female,Yes,Fri,Lunch,2,45
228,20.45,3.0,Male,No,Sat,Dinner,4,68
229,13.28,2.72,Male,No,Sat,Dinner,2,35
230,22.12,2.88,Female,Yes,Sat,Dinner,2,18
231,24.01,2.0,Male,Yes,Sat,Dinner,4,55
232,15.69,3.0,Male,Yes,Sat,Dinner,3,73
233,11.61,3.39,Male,No,Sat,Dinner,2,61
234,10.77,1.47,Male,No,Sat,Dinner,2,54
235,15.53,3.0,Male,Yes,Sat,Dinner,2,54
236,10.07,1.25,Male,No,Sat,Dinner,2,27
237,12.6,1.0,Male,Yes,Sat,Dinner,2,47
238,32.83,1.17,Male,Yes,Sat,Dinner,2,80
239,35.83,4.67,Female,No,Sat,Dinner,3,18
240,29.03,5.92,Male,No,Sat,Dinner,3,25
241,27.18,2.0,Female,Yes,Sat,Dinner,2,42
242,22.67,2.0,Male,Yes,Sat,Dinner,2,64
243,17.82,1.75,Male,No,Sat,Dinner,2,72
244,18.78,3.0,Female,No,Thur,Dinner,2,63
