age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold
19,0.0,0.0,9,220819,40,Never-married,United-States,Farming-fishing,White,Own-child,False,Private,0
19,0.0,0.0,10,251579,14,Never-married,United-States,Other-service,White,Own-child,True,Private,0
22,0.0,0.0,8,254293,40,Never-married,United-States,Handlers-cleaners,White,Not-in-family,True,Private,0
22,0.0,0.0,10,157332,15,Never-married,United-States,Other-service,White,Own-child,False,State-gov,0
34,7298.0,0.0,10,191856,40,Married-civ-spouse,United-States,Exec-managerial,White,Wife,False,Private,1
58,0.0,0.0,10,261230,40,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Self-emp-not-inc,0
48,0.0,0.0,10,44142,45,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,0
42,0.0,0.0,9,112956,40,Never-married,United-States,Transport-moving,White,Own-child,True,Private,0
42,4064.0,0.0,9,195096,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
46,0.0,0.0,13,181372,40,Never-married,United-States,Farming-fishing,White,Not-in-family,False,Self-emp-not-inc,0
47,0.0,0.0,2,343579,12,Married-spouse-absent,Mexico,Farming-fishing,White,Not-in-family,True,Private,0
24,0.0,0.0,10,83374,30,Never-married,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,True,Self-emp-not-inc,1
35,0.0,0.0,9,190194,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
59,0.0,0.0,10,223215,42,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Local-gov,0
45,0.0,0.0,10,183168,40,Married-civ-spouse,United-States,Tech-support,White,Wife,False,Private,0
41,0.0,0.0,14,109762,40,Never-married,United-States,Prof-specialty,White,Not-in-family,True,State-gov,0
31,0.0,1977.0,13,203488,45,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
35,0.0,0.0,14,204527,50,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,1
24,0.0,0.0,13,215251,50,Never-married,United-States,Exec-managerial,White,Not-in-family,False,Private,0
31,0.0,0.0,13,141817,40,Married-civ-spouse,?,Other-service,White,Husband,True,Private,0
46,0.0,0.0,12,146195,36,Divorced,United-States,Tech-support,Black,Not-in-family,False,Private,0
66,0.0,0.0,9,167711,40,Widowed,United-States,Sales,White,Not-in-family,False,Private,1
31,0.0,0.0,14,173473,45,Married-civ-spouse,United-States,Prof-specialty,Asian-Pac-Islander,Husband,True,Private,1
49,0.0,2377.0,9,158685,40,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Self-emp-inc,1
43,0.0,0.0,9,245487,40,Married-civ-spouse,Mexico,Craft-repair,Other,Husband,True,Private,0
24,0.0,0.0,9,194654,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Private,0
36,41310.0,0.0,9,240191,90,Married-civ-spouse,South,Exec-managerial,Asian-Pac-Islander,Husband,True,Self-emp-not-inc,0
44,0.0,0.0,12,132921,36,Never-married,United-States,Prof-specialty,White,Not-in-family,False,Private,0
24,6849.0,0.0,14,180060,90,Never-married,United-States,Exec-managerial,White,Own-child,True,Private,0
20,0.0,0.0,10,89991,32,Never-married,United-States,Other-service,White,Own-child,False,Private,0
30,0.0,0.0,7,115963,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
38,0.0,0.0,13,133963,50,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Private,1
51,0.0,0.0,10,122288,36,Widowed,United-States,Machine-op-inspct,White,Unmarried,False,Private,0
30,0.0,1887.0,9,146161,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-not-inc,1
42,8614.0,0.0,13,339671,45,Married-spouse-absent,United-States,Prof-specialty,White,Not-in-family,False,Local-gov,1
42,0.0,0.0,12,202466,45,Divorced,United-States,Prof-specialty,White,Unmarried,False,Private,0
21,0.0,0.0,9,162667,40,Married-civ-spouse,Ecuador,Craft-repair,White,Other-relative,True,Private,0
32,0.0,1672.0,9,97723,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
43,0.0,0.0,10,47261,50,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Self-emp-not-inc,0
52,0.0,0.0,10,284329,45,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
35,0.0,0.0,9,104545,20,Divorced,United-States,Exec-managerial,White,Unmarried,False,Private,0
74,0.0,0.0,4,29866,2,Married-civ-spouse,United-States,?,White,Husband,True,?,0
40,0.0,0.0,9,132222,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-inc,0
36,0.0,0.0,5,156352,40,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
28,0.0,0.0,9,219267,28,Never-married,United-States,Other-service,White,Unmarried,False,Private,0
44,0.0,0.0,13,101593,60,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
49,0.0,0.0,9,144844,52,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,1
42,0.0,0.0,9,238384,36,Divorced,United-States,Tech-support,White,Unmarried,False,Private,0
43,0.0,0.0,13,221550,35,Separated,United-States,Adm-clerical,White,Unmarried,False,Private,0
30,4416.0,0.0,10,23778,40,Never-married,United-States,Exec-managerial,White,Not-in-family,True,Private,0
21,0.0,0.0,9,334113,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0
43,0.0,1902.0,13,203554,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
38,0.0,0.0,9,215419,36,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Private,1
17,0.0,1719.0,5,184924,15,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
23,0.0,0.0,9,181557,25,Never-married,United-States,Other-service,Black,Own-child,True,Private,0
17,0.0,0.0,7,174466,18,Never-married,United-States,Other-service,White,Own-child,True,Private,0
19,0.0,0.0,10,318822,40,Never-married,United-States,Adm-clerical,White,Other-relative,False,Private,0
22,0.0,0.0,9,97212,15,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
58,0.0,0.0,9,248739,40,Never-married,United-States,Other-service,White,Not-in-family,True,Local-gov,0
44,0.0,0.0,9,32185,70,Never-married,United-States,Transport-moving,White,Unmarried,True,Private,0
72,0.0,0.0,13,305145,4,Widowed,United-States,?,White,Not-in-family,True,?,0
33,0.0,1902.0,13,229051,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
22,0.0,0.0,9,122346,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0
21,0.0,0.0,10,33432,8,Never-married,United-States,Prof-specialty,White,Own-child,False,Private,0
49,1506.0,0.0,13,50748,35,Widowed,United-States,Prof-specialty,White,Unmarried,False,Private,0
50,0.0,0.0,9,193116,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Federal-gov,1
44,0.0,0.0,13,239539,40,Married-civ-spouse,Philippines,Adm-clerical,Asian-Pac-Islander,Husband,True,Federal-gov,1
25,0.0,0.0,13,97789,50,Never-married,United-States,Sales,White,Own-child,True,Private,0
35,0.0,0.0,13,251396,50,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
39,2885.0,0.0,9,167571,30,Married-civ-spouse,United-States,Other-service,White,Wife,False,Local-gov,0
49,0.0,0.0,10,181657,50,Divorced,United-States,Exec-managerial,White,Not-in-family,False,Federal-gov,0
57,99999.0,0.0,14,376230,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1
34,0.0,0.0,13,170276,10,Married-civ-spouse,United-States,?,White,Wife,False,?,1
20,0.0,0.0,10,104443,20,Never-married,United-States,Adm-clerical,White,Own-child,False,Self-emp-inc,0
20,0.0,0.0,10,196643,20,Never-married,United-States,Other-service,White,Own-child,True,Private,0
24,0.0,0.0,10,42100,20,Never-married,United-States,Adm-clerical,White,Unmarried,False,Private,0
59,0.0,0.0,16,205759,50,Never-married,United-States,Prof-specialty,White,Not-in-family,True,Private,0
67,0.0,0.0,9,336163,24,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,0
27,0.0,0.0,9,126730,40,Never-married,United-States,Sales,White,Not-in-family,False,Private,0
27,0.0,0.0,13,192936,30,Never-married,United-States,Exec-managerial,White,Not-in-family,False,Private,0
22,0.0,0.0,9,199419,40,Married-civ-spouse,United-States,Sales,White,Wife,False,Private,0
44,0.0,0.0,4,155701,38,Separated,Peru,Other-service,White,Unmarried,False,Private,0
34,0.0,0.0,14,220066,50,Never-married,United-States,Prof-specialty,White,Not-in-family,False,Local-gov,0
49,0.0,0.0,10,175070,40,Divorced,United-States,Other-service,White,Unmarried,False,Private,0
56,0.0,1669.0,16,52953,38,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Local-gov,0
31,0.0,0.0,5,268482,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
23,0.0,0.0,7,27415,40,Never-married,United-States,?,Amer-Indian-Eskimo,Own-child,True,?,0
22,0.0,0.0,9,264738,42,Never-married,Germany,Exec-managerial,White,Other-relative,False,Private,0
71,2329.0,0.0,13,269708,16,Divorced,United-States,Tech-support,White,Own-child,False,Private,0
21,0.0,0.0,10,153718,25,Never-married,United-States,Other-service,Asian-Pac-Islander,Not-in-family,False,Private,0
20,0.0,0.0,10,416103,40,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
62,0.0,0.0,9,166691,40,Divorced,United-States,Exec-managerial,White,Unmarried,False,Private,0
38,0.0,0.0,12,133454,40,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0
21,0.0,0.0,10,197200,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0
29,0.0,0.0,11,108574,40,Never-married,United-States,Priv-house-serv,White,Own-child,False,Private,0
37,0.0,0.0,10,126675,40,Widowed,?,Machine-op-inspct,White,Other-relative,True,Private,0
53,4386.0,0.0,9,133219,30,Married-civ-spouse,United-States,Other-service,Black,Husband,True,Private,1
41,0.0,0.0,13,230959,40,Never-married,Philippines,Adm-clerical,Asian-Pac-Islander,Own-child,False,Private,0
23,0.0,0.0,13,265148,40,Never-married,United-States,Prof-specialty,White,Unmarried,True,Local-gov,0
24,0.0,0.0,9,195808,40,Never-married,United-States,Protective-serv,White,Not-in-family,True,Local-gov,0
32,0.0,0.0,10,101352,32,Married-civ-spouse,United-States,Tech-support,White,Wife,False,Private,1
68,0.0,0.0,9,76371,45,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,1
51,0.0,2339.0,9,350131,40,Divorced,United-States,Adm-clerical,White,Unmarried,False,Private,0
18,0.0,0.0,8,201613,20,Never-married,United-States,Sales,White,Own-child,False,Private,0
18,0.0,0.0,4,335065,30,Never-married,Mexico,Sales,White,Own-child,True,Private,0
63,2290.0,0.0,9,179400,20,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
21,0.0,0.0,12,176356,20,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0
22,0.0,0.0,10,99543,20,Never-married,United-States,?,White,Own-child,True,?,0
64,0.0,0.0,10,104756,8,Widowed,United-States,?,White,Unmarried,False,?,0
54,0.0,0.0,9,20795,40,Divorced,United-States,Protective-serv,White,Not-in-family,True,Private,0
22,0.0,0.0,9,493034,40,Never-married,United-States,Other-service,Black,Own-child,True,Private,0
50,0.0,0.0,9,112351,38,Divorced,United-States,Exec-managerial,White,Unmarried,True,Private,0
31,0.0,1380.0,13,243605,40,Widowed,Cuba,Sales,White,Unmarried,False,Private,0
40,0.0,0.0,9,274158,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
48,0.0,0.0,13,85341,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Local-gov,0
49,99999.0,0.0,14,423222,80,Married-civ-spouse,United-States,Sales,White,Husband,True,State-gov,1
39,0.0,0.0,9,327120,40,Married-civ-spouse,Portugal,Craft-repair,White,Husband,True,Self-emp-not-inc,0
36,0.0,0.0,9,129263,40,Widowed,United-States,Other-service,White,Not-in-family,False,Private,0
46,0.0,0.0,9,209739,46,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
26,0.0,0.0,9,168236,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,0
24,0.0,0.0,9,314823,40,Never-married,Dominican-Republic,Sales,White,Own-child,True,Private,0
63,15024.0,0.0,13,213945,40,Married-civ-spouse,Iran,Sales,White,Husband,True,Private,1
61,0.0,0.0,5,95929,40,Divorced,United-States,Other-service,White,Not-in-family,True,Private,0
69,0.0,1429.0,9,188643,30,Widowed,United-States,Adm-clerical,White,Not-in-family,False,Private,0
38,0.0,0.0,9,23892,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Wife,False,Private,0
29,0.0,0.0,6,349154,40,Separated,Guatemala,Farming-fishing,White,Unmarried,False,Private,0
47,0.0,0.0,13,183486,50,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Local-gov,1
70,0.0,0.0,13,46577,6,Widowed,United-States,Farming-fishing,White,Unmarried,False,Self-emp-inc,0
46,0.0,0.0,4,70754,50,Never-married,United-States,Handlers-cleaners,White,Not-in-family,True,Private,0
55,0.0,0.0,12,194065,40,Divorced,United-States,Sales,White,Not-in-family,False,Self-emp-not-inc,0
34,0.0,0.0,8,268127,40,Separated,United-States,?,Black,Unmarried,False,?,0
33,0.0,0.0,9,120201,65,Divorced,United-States,Adm-clerical,Other,Own-child,False,Private,0
46,0.0,0.0,7,525848,48,Married-civ-spouse,United-States,Transport-moving,Black,Husband,True,Self-emp-not-inc,0
43,7430.0,0.0,14,126847,60,Married-spouse-absent,United-States,Prof-specialty,White,Unmarried,False,Local-gov,1
38,0.0,0.0,13,105161,30,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Local-gov,0
20,0.0,0.0,10,305874,40,Never-married,United-States,Transport-moving,White,Own-child,True,Private,0
38,0.0,0.0,14,240467,35,Never-married,United-States,Exec-managerial,Black,Unmarried,False,Private,0
31,0.0,0.0,13,103435,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
69,0.0,810.0,10,159191,38,Widowed,United-States,Adm-clerical,White,Not-in-family,False,State-gov,0
42,0.0,0.0,11,336643,40,Separated,United-States,Prof-specialty,White,Unmarried,False,Private,0
66,0.0,0.0,13,196674,15,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
64,0.0,0.0,7,102041,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
27,0.0,0.0,15,153291,50,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Private,1
64,0.0,0.0,9,102470,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
25,0.0,0.0,9,441210,40,Never-married,United-States,Prof-specialty,White,Own-child,True,Private,0
59,2907.0,0.0,10,108496,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0
19,0.0,0.0,10,87402,40,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0
23,0.0,0.0,9,162282,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0
20,0.0,0.0,9,167868,35,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
18,0.0,0.0,9,170183,20,Never-married,United-States,Other-service,White,Own-child,False,Private,0
49,0.0,0.0,11,151267,40,Divorced,United-States,Prof-specialty,Black,Unmarried,False,Private,0
43,0.0,0.0,13,123490,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-inc,1
49,0.0,0.0,13,55938,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,State-gov,1
35,0.0,0.0,9,47707,40,Never-married,United-States,Other-service,Black,Not-in-family,False,Private,0
61,0.0,0.0,6,175331,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
28,0.0,0.0,9,180928,40,Never-married,United-States,Exec-managerial,White,Own-child,True,Self-emp-not-inc,0
31,0.0,0.0,9,162041,15,Never-married,United-States,?,White,Own-child,False,?,0
40,0.0,0.0,9,275446,40,Never-married,United-States,Sales,Black,Own-child,True,Private,0
62,0.0,0.0,7,416829,21,Separated,United-States,Other-service,Black,Not-in-family,False,Private,0
56,0.0,0.0,10,32604,40,Never-married,United-States,?,Black,Not-in-family,False,?,0
27,0.0,0.0,13,199172,40,Never-married,United-States,Protective-serv,White,Own-child,False,Private,0
40,0.0,0.0,9,224910,40,Never-married,United-States,Machine-op-inspct,White,Not-in-family,False,Private,0
26,0.0,0.0,9,459548,20,Never-married,Mexico,Handlers-cleaners,White,Not-in-family,True,Private,0
47,0.0,0.0,13,180243,40,Never-married,United-States,Sales,White,Other-relative,False,Private,0
41,0.0,0.0,9,242804,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
51,0.0,2603.0,10,153870,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
53,0.0,0.0,9,231166,40,Separated,United-States,Transport-moving,White,Not-in-family,True,Local-gov,0
40,0.0,0.0,7,109969,20,Divorced,United-States,Other-service,White,Other-relative,False,Private,0
45,0.0,0.0,3,96798,40,Divorced,United-States,Transport-moving,White,Unmarried,True,Private,0
28,0.0,0.0,13,52199,50,Never-married,United-States,Other-service,White,Not-in-family,True,Private,0
30,0.0,0.0,9,91145,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
19,0.0,0.0,10,93762,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
17,0.0,0.0,7,73338,20,Never-married,United-States,Sales,White,Own-child,True,Private,0
26,0.0,0.0,8,292692,40,Never-married,Mexico,Craft-repair,White,Not-in-family,True,Private,0
40,0.0,0.0,14,205680,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,0
47,0.0,0.0,10,52795,46,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
29,0.0,0.0,16,195284,60,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Private,1
60,0.0,0.0,9,338345,45,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
66,0.0,0.0,9,107196,18,Widowed,United-States,Tech-support,White,Not-in-family,False,Private,0
41,0.0,0.0,13,163258,40,Never-married,United-States,Tech-support,White,Not-in-family,True,Private,0
18,0.0,0.0,7,120243,17,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
35,0.0,1672.0,9,54317,50,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Private,0
29,0.0,2258.0,10,253003,45,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,1
34,0.0,0.0,7,267352,30,Never-married,United-States,?,White,Not-in-family,True,?,0
24,0.0,0.0,14,47541,25,Never-married,United-States,Transport-moving,White,Not-in-family,True,Private,0
31,0.0,0.0,6,307543,99,Never-married,Cuba,Transport-moving,White,Own-child,True,Private,0
25,0.0,0.0,9,186294,50,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
19,0.0,0.0,9,187352,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
50,0.0,0.0,9,219420,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1
36,0.0,0.0,4,131459,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
50,7298.0,0.0,9,95469,45,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,1
57,4508.0,0.0,13,182677,40,Married-civ-spouse,South,Exec-managerial,Asian-Pac-Islander,Husband,True,Private,0
38,0.0,0.0,9,26698,40,Married-civ-spouse,United-States,Tech-support,White,Husband,True,Private,0
58,0.0,0.0,10,162970,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
46,0.0,0.0,13,40666,40,Divorced,United-States,Exec-managerial,White,Other-relative,True,Private,0
32,0.0,0.0,6,34066,40,Married-civ-spouse,United-States,Handlers-cleaners,Amer-Indian-Eskimo,Husband,True,Private,0
30,0.0,0.0,9,189439,38,Married-spouse-absent,United-States,Other-service,Black,Unmarried,False,Private,0
31,0.0,0.0,9,113530,45,Never-married,United-States,Craft-repair,White,Not-in-family,True,Self-emp-inc,0
21,0.0,0.0,10,97295,45,Never-married,United-States,Sales,White,Not-in-family,False,Private,0
19,0.0,0.0,6,105289,20,Never-married,United-States,Other-service,Black,Other-relative,False,Private,0
22,0.0,0.0,13,205940,40,Never-married,United-States,Exec-managerial,White,Not-in-family,False,Private,0
40,0.0,0.0,9,187294,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
